navigation,pid,qid,result
swipe,4JBL6N,0,2
swipe,4JBL6N,1,1
swipe,4JBL6N,2,2
swipe,4JBL6N,3,1
burger,112PPVD,0,4
burger,112PPVD,1,1
burger,112PPVD,2,1
burger,112PPVD,3,5
swipe,3U9GHH0,0,3
swipe,3U9GHH0,1,2
swipe,3U9GHH0,2,1
swipe,3U9GHH0,3,4
burger,16UG94T,0,1
burger,16UG94T,1,1
burger,16UG94T,2,1
burger,16UG94T,3,7
burger,3P156GT,0,1
burger,3P156GT,1,1
burger,3P156GT,2,1
burger,3P156GT,3,7
burger,2L8FC9S,0,1
burger,2L8FC9S,1,1
burger,2L8FC9S,2,1
burger,2L8FC9S,3,6
burger,1LVR1BA,0,1
burger,1LVR1BA,1,1
burger,1LVR1BA,2,1
burger,1LVR1BA,3,7
burger,34M20O3,0,1
burger,34M20O3,1,2
burger,34M20O3,2,1
burger,34M20O3,3,3
swipe,3V5IM4C,0,1
swipe,3V5IM4C,1,1
swipe,3V5IM4C,2,1
swipe,3V5IM4C,3,7
burger,3RPMKQ7,0,1
burger,3RPMKQ7,1,2
burger,3RPMKQ7,2,1
burger,3RPMKQ7,3,5
swipe,2GEOQ9P,0,1
swipe,2GEOQ9P,1,2
swipe,2GEOQ9P,2,1
swipe,2GEOQ9P,3,6
swipe,3IMSUI8,0,1
swipe,3IMSUI8,1,1
swipe,3IMSUI8,2,1
swipe,3IMSUI8,3,7
swipe,3NC8CCE,0,2
swipe,3NC8CCE,1,2
swipe,3NC8CCE,2,2
swipe,3NC8CCE,3,4
swipe,2TLFJA1,0,1
swipe,2TLFJA1,1,1
swipe,2TLFJA1,2,1
swipe,2TLFJA1,3,6
swipe,E21CVE,0,1
swipe,E21CVE,1,1
swipe,E21CVE,2,7
swipe,E21CVE,3,5
